"name","critic_score","critic_count"
"Killzone 2",91,94
"Rock Band 3",91,10
"Planescape: Torment",91,22
"Metroid Prime: Trilogy",91,48
"Rayman Legends",91,23
"Tony Hawk's Pro Skater 4",91,19
"Rock Band 3",91,34
"ESPN NFL Football",91,20
"The Legend of Zelda: A Link Between Worlds",91,81
"Neverwinter Nights",91,34
"NCAA Football 2003",91,11
"Metal Gear Solid 3: Snake Eater",91,68
"Overwatch",91,62
"Mario Kart DS",91,64
"Batman: Arkham Asylum",91,70
"The Longest Journey",91,26
"Madden NFL 2005",91,30
"Forza Motorsport 4",91,83
"Crysis",91,56
"Madden NFL 2001",91,25
"Rock Band 2",91,24
"Batman: Arkham City",91,27
"Tomb Raider",91,13
"NCAA Football 2003",91,19
"Dark Souls II",91,36
"Dragon Age: Origins",91,67
"Twisted Metal: Black",91,15
"God of War Collection",91,50
"Halo: Reach",91,99
"Colony Wars",91,12
"World of Warcraft: Wrath of the Lich King",91,47
"Street Fighter IV",91,23
"The Witcher 3: Wild Hunt",91,13
"Guitar Hero",91,65
"IL-2 Sturmovik",91,12
"Dark Souls II",91,69
"Ninja Gaiden",91,89
"God of War: Chains of Olympus",91,79
"Resident Evil",91,8
"Crash Bandicoot 3: Warped",91,12
"Borderlands 2",91,25
"Shadow of the Colossus",91,77
"Battlefield 2",91,55
"Madden NFL 2005",91,39
"Assassin's Creed II",91,70
"ESPN NFL Football",91,25
"Forza Horizon 3",91,90
"Overwatch",91,18
"FIFA Soccer 10",91,56
"Rayman Legends",91,6
"Metal Gear Solid V: The Phantom Pain",91,13
"Klonoa 2: Lunatea's Veil",91,18
"Fallout 3",91,48
"Batman: Arkham Asylum",91,29
"Spyro: Year of the Dragon",91,15
"LittleBigPlanet 2",91,86
"Castlevania: Circle of the Moon",91,22
"Tiger Woods PGA Tour 2005",91,16
"Castlevania: Aria of Sorrow",91,29
"Tony Hawk's Pro Skater 3",91,27
"World Soccer Winning Eleven 8 International",91,26
"Bayonetta 2",91,80
"Gears of War 3",91,96
"Legacy of Kain: Soul Reaver",91,17
